3325,3
3340,3
3340,3
3341,3
3343,3
3344,3
3388,3
3396,3
3397,3
3397,3
3399,3
3419,3
3419,3
3457,3
3464,3
3465,3
3473,3
3478,3
3486,3
3487,3
3519,3
3519,3
3520,3
3552,3
3552,3
3563,3
3563,3
3564,3
3572,3
3617,3
3617,3
3618,3
3621,3
3626,3
3629,3
3629,3
3629,3
3643,3
3657,3
3657,3
3662,3
3676,3
3676,3
3676,3
3676,3
3676,3
3676,3
3692,3
3696,3
3698,3
3709,3
3735,3
3739,3
3740,3
3741,3
3744,3
3748,3
3749,3
3750,3
3754,3
3777,3
3787,3
3788,3
3789,3
3790,3
3907,3
3907,3
3932,3
3932,3
3932,3
3959,3
3960,3
3960,3
3961,1
3962,3
3962,1
3986,1
3987,3
3987,1
4007,1
4007,1
4027,1
4037,3
4039,3
4041,3
4064,3
4079,3
4081,3
4081,3
4082,3
4082,3
4110,3
4111,3
4121,3
4122,3
4123,3
4126,3
4126,3
4201,3
4211,3
4238,3
4244,3
4289,3
4289,3
4289,3
4289,3
4289,3
4290,3
4290,3
4290,3
4290,3
4290,2
4301,2
4343,2
4344,2
4344,1
4347,2
4348,1
4359,2
4359,2
4359,1
4359,1
4359,1
4618,3
4836,3
4888,3
4941,2
