58094,9408,5919,4319,2945,1861,1326,786,
10221,1769,1010,824,508,272,231,118,
5940,1192,606,516,464,260,183,75,
17680,4117,2784,2376,1903,1178,792,400,
23707,4164,2302,1700,1115,677,552,266,
11052,2175,1305,979,681,410,319,144,
16177,2618,1632,1069,766,433,311,192,
7324,1340,732,510,318,203,214,71,
888,142,60,43,26,24,28,15,
869,177,95,65,53,33,18,14,
3993,686,431,296,186,92,95,47,
3195,547,298,215,144,76,67,41,
225,46,13,12,5,6,6,0,
94,11,1,1,0,1,1,0,
205426,35218,21191,15722,11037,6629,4718,2525,
